TC#,Module,Category,Test Case,Steps,Expected Result,Priority,Raised By,Status
TC-001,Dashboard,KPI Cards,"Verify all 7 KPI cards are visible on Dashboard","1. Login to app
2. Navigate to /dashboard
3. Count KPI cards","Should show: Total Issues, Open Issues, In Progress, Overdue, Due This Week, Resolved, Reopened — all 7 in one row with compact sizing",Critical,Shumon Zaman,
TC-002,Dashboard,KPI Drill-down,"Click Total Issues KPI card navigates to All Issues","1. Go to /dashboard
2. Click 'Total Issues' card","Navigates to /issues showing ALL issues unfiltered. Count matches KPI number exactly",Critical,Shumon Zaman,
TC-003,Dashboard,KPI Drill-down,"Click Open Issues KPI card filters correctly","1. Go to /dashboard
2. Note Open Issues count
3. Click 'Open Issues' card","Navigates to /open-issues. Total displayed issues matches the KPI number shown on dashboard",Critical,Shumon Zaman,
TC-004,Dashboard,KPI Drill-down,"Click In Progress KPI card filters correctly","1. Go to /dashboard
2. Note In Progress count
3. Click card","Navigates to /issues?status=In+Progress. Issues shown all have status 'In Progress'. Count matches KPI",Critical,Shumon Zaman,
TC-005,Dashboard,KPI Drill-down,"Click Overdue KPI card filters correctly","1. Go to /dashboard
2. Note Overdue count
3. Click card","Navigates to /issues?overdue=true. All shown issues have DueDate < today AND status NOT Resolved/Closed",Critical,Shumon Zaman,
TC-006,Dashboard,KPI Drill-down,"Click Due This Week KPI card filters correctly","1. Go to /dashboard
2. Note Due This Week count
3. Click card","Navigates to /issues?dueThisWeek=true. All shown issues have DueDate within current week",Critical,Shumon Zaman,
TC-007,Dashboard,KPI Drill-down,"Click Resolved KPI card navigates to Resolved page","1. Go to /dashboard
2. Note Resolved count
3. Click card","Navigates to /resolved. Shows only Resolved/Closed issues. Count matches",Critical,Shumon Zaman,
TC-008,Dashboard,KPI Drill-down,"Click Reopened KPI card filters correctly","1. Go to /dashboard
2. Note Reopened count
3. Click card","Navigates to /issues?reopened=true. All shown issues have reopenCount > 0",Critical,Shumon Zaman,
TC-009,Dashboard,KPI Accuracy,"KPI numbers match actual database counts","1. Go to /dashboard
2. Note all 7 KPI values
3. Cross-check with DB: SELECT COUNT(*) with appropriate WHERE clauses","All 7 KPI numbers match database queries exactly",Critical,Shumon Zaman,
TC-010,Dashboard,Resolved Card,"Resolved card is present in dashboard KPI row","1. Go to /dashboard
2. Look for Resolved card in KPI strip","Resolved card exists showing count of Resolved+Closed issues. Card is clickable",Critical,Shumon Zaman,
TC-011,All Issues,Filter - Status,"Status filter shows correct count after selection","1. Go to /issues
2. Select 'Open' from status filter
3. Compare KPI card count with table rows","KPI card shows 11 Open → clicking Open filter shows exactly 11 issues in table. NOT 4 or any other number",Critical,Divya,
TC-012,All Issues,Filter - Status,"Each status filter option returns accurate results","1. Go to /issues
2. For each status (New/Open/In Progress/Resolved/Closed): select it and count results
3. Compare with unfiltered KPI","Filtered count always matches the KPI number for that status",Critical,Divya,
TC-013,All Issues,Filter - Process,"Process filter works with all 6 modules","1. Go to /issues
2. Select 'Services Module' from process filter","Shows only issues where ProcessId matches Services Module. Count is accurate",Critical,Divya / Venkatesan,
TC-014,All Issues,Filter - Process,"All 6 master processes appear in dropdown","1. Go to /issues
2. Open process filter dropdown","Shows: Sales Module, Services Module, Procurement Module, Logistics Module, Finance Module, Training and UAT. NO deactivated processes shown",Critical,Divya,
TC-015,All Issues,Filter - Severity,"Severity filter returns correct results","1. Go to /issues
2. Select each severity (Critical/High/Medium/Low) one by one","Filtered results match only issues with selected severity",High,Team,
